artist_name,track_name,track_id,popularity
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,96
Dj Biffen,Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,25
Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,92
Elvis Costello & The Attractions,Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,66
Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,91
Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,39
Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,86
Armin van Buuren,A State Of Trance (ASOT 1048) - Tune Of The Year 2021,23uQosdt9K10pu3mtrQVWN,21
Jessica Darrow,Surface Pressure,760jhRscwGbIIe1m1IIQpU,92
Elvis Costello & The Attractions,"Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,48
Swedish House Mafia,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,92
yt music,Year 2021,0DBlFmx6wmnuoLaAl7hfew,0
GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,100
LYMEY,END OF YEAR 2021,6usFCFN0F69JcAaHtB55sg,18
Bruno Mars,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,87
Elvis Costello & The Attractions,The Beat - 2021 Remaster,1bqlDsBlBPxjK0zuFQcSXq,45
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,98
J.K.,Year 2021,4trDNqHFg6hfx8w9uni7lY,0
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,95
Amaranta,Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,24
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,89
France Gall,Laisse tomber les filles,0mU8byD07n6FLEOqxRJcz1,43
Bruno Mars,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,86
Craze_Returned,Year 2021,65hIZYAYu3fxltrGK6frIn,0
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,96
Amaranta,Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,24
Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93
Fred again..,Kahan (Last Year),3IGsYYUDb4PrfrsP5tmjHd,48
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,95
Duck,Year 2021,4cdcFyEEr2g74eM9m8XohF,0
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95
Elvis Costello & The Attractions,This Year's Girl - 2021 Remaster,1fdZTOJXydtRzCwBbHlJco,39
